season,matchweek,home_club,away_club,final_score,goal_club,goal_score,goal_scorer,minute
1992-1993,1,Arsenal,Norwich,2:4,home,1:0,Steve Bould,28
1992-1993,1,Arsenal,Norwich,2:4,home,2:0,Kevin Campbell,39
1992-1993,1,Arsenal,Norwich,2:4,away,2:1,Mark Robins,69
1992-1993,1,Arsenal,Norwich,2:4,away,2:2,David Phillips,72
1992-1993,1,Arsenal,Norwich,2:4,away,2:3,Ruel Fox,82
1992-1993,1,Arsenal,Norwich,2:4,away,2:4,Mark Robins,84
1992-1993,1,Chelsea,Oldham Athletic,1:1,home,1:0,Mick Harford,84
1992-1993,1,Chelsea,Oldham Athletic,1:1,away,1:1,Nick Henry,86
1992-1993,1,Coventry,Middlesbrough,2:1,home,1:0,John Williams,9
1992-1993,1,Coventry,Middlesbrough,2:1,home,2:0,David Smith,51
1992-1993,1,Coventry,Middlesbrough,2:1,away,2:1,Paul Wilkinson,63
1992-1993,1,Crystal Palace,Blackburn,3:3,home,1:0,Mark Bright,37
1992-1993,1,Crystal Palace,Blackburn,3:3,away,1:1,Stuart Ripley,42
1992-1993,1,Crystal Palace,Blackburn,3:3,home,2:1,Gareth Southgate,63
1992-1993,1,Crystal Palace,Blackburn,3:3,away,2:2,Alan Shearer,66
1992-1993,1,Crystal Palace,Blackburn,3:3,away,2:3,Alan Shearer,81
1992-1993,1,Crystal Palace,Blackburn,3:3,home,3:3,Simon Osborn,90
1992-1993,1,Everton,Sheff Wed,1:1,away,0:1,Nigel Pearson,15
1992-1993,1,Everton,Sheff Wed,1:1,home,1:1,Barry Horne,44
1992-1993,1,Ipswich,Aston Villa,1:1,home,1:0,Gavin Johnson,31
1992-1993,1,Ipswich,Aston Villa,1:1,away,1:1,Dalian Atkinson,84
1992-1993,1,Leeds,Wimbledon FC,2:1,home,1:0,Lee Chapman,14
1992-1993,1,Leeds,Wimbledon FC,2:1,away,1:1,Warren Barton,76
1992-1993,1,Leeds,Wimbledon FC,2:1,home,2:1,Lee Chapman,86
1992-1993,1,Sheff Utd,Man Utd,2:1,home,1:0,Brian Deane,5
1992-1993,1,Sheff Utd,Man Utd,2:1,home,2:0,Brian Deane,50
1992-1993,1,Sheff Utd,Man Utd,2:1,away,2:1,Mark Hughes,61
1992-1993,1,Nottm Forest,Liverpool,1:0,home,1:0,Teddy Sheringham,29
1992-1993,1,Man City,QPR,1:1,home,1:0,David White,37
1992-1993,1,Man City,QPR,1:1,away,1:1,Andy Sinton,47
1992-1993,2,Blackburn,Arsenal,1:0,home,1:0,Alan Shearer,84
1992-1993,2,Wimbledon FC,Ipswich,0:1,away,0:1,Gavin Johnson,37
1992-1993,2,Aston Villa,Leeds,1:1,home,1:0,Dalian Atkinson,77
1992-1993,2,Aston Villa,Leeds,1:1,away,1:1,Gary Speed,84
1992-1993,2,Liverpool,Sheff Utd,2:1,away,0:1,Brian Deane,35
1992-1993,2,Liverpool,Sheff Utd,2:1,home,1:1,Mark Walters,43
1992-1993,2,Liverpool,Sheff Utd,2:1,home,2:1,Paul Stewart,65
1992-1993,2,Man Utd,Everton,0:3,away,0:1,Peter Beardsley,45
1992-1993,2,Man Utd,Everton,0:3,away,0:2,Robert Warzycha,80
1992-1993,2,Man Utd,Everton,0:3,away,0:3,Mo Johnston,90
1992-1993,2,Middlesbrough,Man City,2:0,home,1:0,Bernie Slaven,15
1992-1993,2,Middlesbrough,Man City,2:0,home,2:0,Bernie Slaven,17
1992-1993,2,Norwich,Chelsea,2:1,away,0:1,Graham Stuart,15
1992-1993,2,Norwich,Chelsea,2:1,home,1:1,David Phillips,57
1992-1993,2,Norwich,Chelsea,2:1,home,2:1,Mark Robins,59
1992-1993,2,Oldham Athletic,Crystal Palace,1:1,home,1:0,Graeme Sharp,16
1992-1993,2,Oldham Athletic,Crystal Palace,1:1,away,1:1,Eddie McGoldrick,50
1992-1993,2,QPR,Southampton,3:1,away,0:1,Matt Le Tissier,31
1992-1993,2,QPR,Southampton,3:1,home,1:1,Les Ferdinand,58
1992-1993,2,QPR,Southampton,3:1,home,2:1,David Bardsley,70
1992-1993,2,QPR,Southampton,3:1,home,3:1,Les Ferdinand,86
1992-1993,2,Sheff Wed,Nottm Forest,2:0,home,1:0,David Hirst,16
1992-1993,2,Sheff Wed,Nottm Forest,2:0,home,2:0,David Hirst,78
1992-1993,2,Spurs,Coventry,0:2,away,0:1,John Williams,4
1992-1993,2,Spurs,Coventry,0:2,away,0:2,John Williams,29
1992-1993,3,Aston Villa,Southampton,1:1,home,1:0,Dalian Atkinson,64
1992-1993,3,Aston Villa,Southampton,1:1,away,1:1,Micky Adams,79
1992-1993,3,Blackburn,Man City,1:0,home,1:0,Mike Newell,69
1992-1993,3,Man Utd,Ipswich,1:1,away,0:1,Chris Kiwomya,56
1992-1993,3,Man Utd,Ipswich,1:1,home,1:1,Denis Irwin,57
1992-1993,3,Middlesbrough,Leeds,4:1,home,1:0,Paul Wilkinson,7
1992-1993,3,Middlesbrough,Leeds,4:1,home,2:0,Paul Wilkinson,8
1992-1993,3,Middlesbrough,Leeds,4:1,home,3:0,Tommy Wright,47
1992-1993,3,Middlesbrough,Leeds,4:1,home,4:0,John Hendrie,59
1992-1993,3,Middlesbrough,Leeds,4:1,away,4:1,Eric Cantona,68
1992-1993,3,Norwich,Everton,1:1,away,0:1,Peter Beardsley,55
1992-1993,3,Norwich,Everton,1:1,home,1:1,Ruel Fox,67
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,1:0,Neil Adams,31
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,2:0,Graeme Sharp,38
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,3:0,Nick Henry,44
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,4:0,Gunnar Halle,46
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,5:0,Paul Bernard,59
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,away,5:1,Stuart Pearce,66
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,away,5:2,Gary Bannister,86
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,away,5:3,Gary Bannister,88
1992-1993,3,QPR,Sheff Utd,3:2,home,1:0,Les Ferdinand,3
1992-1993,3,QPR,Sheff Utd,3:2,away,1:1,Alan Cork,4
1992-1993,3,QPR,Sheff Utd,3:2,home,2:1,Simon Barker,14
1992-1993,3,QPR,Sheff Utd,3:2,away,2:2,Brian Deane,63
1992-1993,3,QPR,Sheff Utd,3:2,home,3:2,Dennis Bailey,84
1992-1993,3,Sheff Wed,Chelsea,3:3,home,1:0,David Hirst,27
1992-1993,3,Sheff Wed,Chelsea,3:3,home,2:0,David Hirst,37
1992-1993,3,Sheff Wed,Chelsea,3:3,away,2:1,Vinnie Jones,49
1992-1993,3,Sheff Wed,Chelsea,3:3,away,2:2,Graham Stuart,57
1992-1993,3,Sheff Wed,Chelsea,3:3,away,2:3,Eddie Newton,64
1992-1993,3,Sheff Wed,Chelsea,3:3,home,3:3,Danny Wilson,81
1992-1993,3,Spurs,Crystal Palace,2:2,home,1:0,Gordon Durie,16
1992-1993,3,Spurs,Crystal Palace,2:2,away,1:1,Eddie McGoldrick,21
1992-1993,3,Spurs,Crystal Palace,2:2,away,1:2,Eric Young,80
1992-1993,3,Spurs,Crystal Palace,2:2,home,2:2,Steve Sedgley,88
1992-1993,3,Wimbledon FC,Coventry,1:2,away,0:1,Micky Gynn,13
1992-1993,3,Wimbledon FC,Coventry,1:2,away,0:2,Robert Rosario,46
1992-1993,3,Wimbledon FC,Coventry,1:2,home,1:2,Dean Holdsworth,73
1992-1993,3,Liverpool,Arsenal,0:2,away,0:1,Anders Limpar,53
1992-1993,3,Liverpool,Arsenal,0:2,away,0:2,Ian Wright,80
1992-1993,4,Southampton,Man Utd,0:1,away,0:1,Dion Dublin,89
1992-1993,4,Crystal Palace,Sheff Wed,1:1,home,1:0,Eric Young,41
1992-1993,4,Crystal Palace,Sheff Wed,1:1,away,1:1,Paul Williams,66
1992-1993,4,Everton,Aston Villa,1:0,home,1:0,Mo Johnston,88
1992-1993,4,Ipswich,Liverpool,2:2,away,0:1,Mark Walters,39
1992-1993,4,Ipswich,Liverpool,2:2,home,1:1,Jason Dozzell,56
1992-1993,4,Ipswich,Liverpool,2:2,away,1:2,Jan Molby,70
1992-1993,4,Ipswich,Liverpool,2:2,home,2:2,Chris Kiwomya,90
1992-1993,4,Leeds,Spurs,5:0,home,1:0,Rod Wallace,19
1992-1993,4,Leeds,Spurs,5:0,home,2:0,Eric Cantona,26
1992-1993,4,Leeds,Spurs,5:0,home,3:0,Eric Cantona,31
1992-1993,4,Leeds,Spurs,5:0,home,4:0,Eric Cantona,46
1992-1993,4,Leeds,Spurs,5:0,home,5:0,Lee Chapman,66
1992-1993,4,Sheff Utd,Wimbledon FC,2:2,away,0:1,Warren Barton,34
1992-1993,4,Sheff Utd,Wimbledon FC,2:2,home,1:1,Paul Beesley,48
1992-1993,4,Sheff Utd,Wimbledon FC,2:2,home,2:1,Glyn Hodges,67
1992-1993,4,Sheff Utd,Wimbledon FC,2:2,away,2:2,Dean Holdsworth,74
1992-1993,4,Arsenal,Oldham Athletic,2:0,home,1:0,Nigel Winterburn,25
1992-1993,4,Arsenal,Oldham Athletic,2:0,home,2:0,Ian Wright,31
1992-1993,4,Coventry,QPR,0:1,away,0:1,Andy Impey,45
1992-1993,4,Man City,Norwich,3:1,home,1:0,David White,45
1992-1993,4,Man City,Norwich,3:1,away,1:1,Gary Megson,58
1992-1993,4,Man City,Norwich,3:1,home,2:1,David White,80
1992-1993,4,Man City,Norwich,3:1,home,3:1,Steve McMahon,90
1992-1993,4,Nottm Forest,Middlesbrough,1:0,home,1:0,Kingsley Black,66
1992-1993,5,Arsenal,Sheff Wed,2:1,home,1:0,Ray Parlour,8
1992-1993,5,Arsenal,Sheff Wed,2:1,home,2:0,Paul Merson,27
1992-1993,5,Arsenal,Sheff Wed,2:1,away,2:1,David Hirst,33
1992-1993,5,Chelsea,QPR,1:0,home,1:0,Mick Harford,59
1992-1993,5,Coventry,Blackburn,0:2,away,0:1,Alan Shearer,69
1992-1993,5,Coventry,Blackburn,0:2,away,0:2,Mark Atkins,79
1992-1993,5,Crystal Palace,Norwich,1:2,away,0:1,Lee Power,16
1992-1993,5,Crystal Palace,Norwich,1:2,home,1:1,Eddie McGoldrick,20
1992-1993,5,Crystal Palace,Norwich,1:2,away,1:2,David Phillips,74
1992-1993,5,Leeds,Liverpool,2:2,home,1:0,Gary McAllister,7
1992-1993,5,Leeds,Liverpool,2:2,away,1:1,Ronnie Whelan,44
1992-1993,5,Leeds,Liverpool,2:2,away,1:2,Jan Molby,70
1992-1993,5,Leeds,Liverpool,2:2,home,2:2,Lee Chapman,87
1992-1993,5,Man City,Oldham Athletic,3:3,home,1:0,Niall Quinn,4
1992-1993,5,Man City,Oldham Athletic,3:3,home,2:0,Michel Vonk,8
1992-1993,5,Man City,Oldham Athletic,3:3,away,2:1,Richard Jobson,11
1992-1993,5,Man City,Oldham Athletic,3:3,home,3:1,David White,23
1992-1993,5,Man City,Oldham Athletic,3:3,away,3:2,Mike Milligan,29
1992-1993,5,Man City,Oldham Athletic,3:3,away,3:3,Gunnar Halle,38
1992-1993,5,Nottm Forest,Man Utd,0:2,away,0:1,Mark Hughes,17
1992-1993,5,Nottm Forest,Man Utd,0:2,away,0:2,Ryan Giggs,50
1992-1993,5,Sheff Utd,Aston Villa,0:2,away,0:1,Garry Parker,2
1992-1993,5,Sheff Utd,Aston Villa,0:2,away,0:2,Garry Parker,86
1992-1993,5,Southampton,Middlesbrough,2:1,away,0:1,Paul Wilkinson,75
1992-1993,5,Southampton,Middlesbrough,2:1,home,1:1,Matt Le Tissier,80
1992-1993,5,Southampton,Middlesbrough,2:1,home,2:1,Nicky Banger,83
1992-1993,5,Ipswich,Spurs,1:1,away,0:1,Jason Cundy,29
1992-1993,5,Ipswich,Spurs,1:1,home,1:1,John Wark,45
1992-1993,6,Norwich,Nottm Forest,3:1,home,1:0,Ian Crook,2
1992-1993,6,Norwich,Nottm Forest,3:1,away,1:1,Nigel Clough,31
1992-1993,6,Norwich,Nottm Forest,3:1,home,2:1,Lee Power,76
1992-1993,6,Norwich,Nottm Forest,3:1,home,3:1,David Phillips,89
1992-1993,6,Liverpool,Southampton,1:1,away,0:1,Kerry Dixon,51
1992-1993,6,Liverpool,Southampton,1:1,home,1:1,Mark Wright,60
1992-1993,6,Middlesbrough,Ipswich,2:2,away,0:1,John Wark,26
1992-1993,6,Middlesbrough,Ipswich,2:2,home,1:1,Alan Kernaghan,54
1992-1993,6,Middlesbrough,Ipswich,2:2,away,1:2,Paul Goddard,59
1992-1993,6,Middlesbrough,Ipswich,2:2,home,2:2,Paul Wilkinson,82
1992-1993,6,Oldham Athletic,Leeds,2:2,away,0:1,Eric Cantona,53
1992-1993,6,Oldham Athletic,Leeds,2:2,away,0:2,Eric Cantona,76
1992-1993,6,Oldham Athletic,Leeds,2:2,home,1:2,Ian Olney,85
1992-1993,6,Oldham Athletic,Leeds,2:2,home,2:2,Ian Olney,90
1992-1993,6,Wimbledon FC,Man City,0:1,away,0:1,David White,49
1992-1993,6,Aston Villa,Chelsea,1:3,home,1:0,Kevin Richardson,30
1992-1993,6,Aston Villa,Chelsea,1:3,away,1:1,Robert Fleck,40
1992-1993,6,Aston Villa,Chelsea,1:3,away,1:2,Eddie Newton,42
1992-1993,6,Aston Villa,Chelsea,1:3,away,1:3,Dennis Wise,57
1992-1993,6,Man Utd,Crystal Palace,1:0,home,1:0,Mark Hughes,88
1992-1993,6,Sheff Wed,Coventry,1:2,away,0:1,Peter Ndlovu,42
1992-1993,6,Sheff Wed,Coventry,1:2,away,0:2,Lee Hurst,49
1992-1993,6,Sheff Wed,Coventry,1:2,home,1:2,Chris Bart Williams,62
1992-1993,6,Spurs,Sheff Utd,2:0,home,1:0,Teddy Sheringham,43
1992-1993,6,Spurs,Sheff Utd,2:0,home,2:0,Gordon Durie,46
1992-1993,6,Blackburn,Everton,2:3,home,1:0,Alan Shearer,12
1992-1993,6,Blackburn,Everton,2:3,away,1:1,Tony Cottee,22
1992-1993,6,Blackburn,Everton,2:3,away,1:2,John Ebbrell,39
1992-1993,6,Blackburn,Everton,2:3,home,2:2,Alan Shearer,74
1992-1993,6,Blackburn,Everton,2:3,away,2:3,Tony Cottee,81
1992-1993,7,Aston Villa,Crystal Palace,3:0,home,1:0,Dwight Yorke,18
1992-1993,7,Aston Villa,Crystal Palace,3:0,home,2:0,Steve Staunton,42
1992-1993,7,Aston Villa,Crystal Palace,3:0,home,3:0,Steve Froggatt,72
1992-1993,7,Blackburn,Nottm Forest,4:1,home,1:0,Alan Shearer,3
1992-1993,7,Blackburn,Nottm Forest,4:1,away,1:1,Gary Bannister,15
1992-1993,7,Blackburn,Nottm Forest,4:1,home,2:1,Mark Atkins,52
1992-1993,7,Blackburn,Nottm Forest,4:1,home,3:1,Alan Shearer,59
1992-1993,7,Blackburn,Nottm Forest,4:1,home,4:1,Mark Crossley,62
1992-1993,7,Liverpool,Chelsea,2:1,home,1:0,Dean Saunders,27
1992-1993,7,Liverpool,Chelsea,2:1,away,1:1,Mick Harford,72
1992-1993,7,Liverpool,Chelsea,2:1,home,2:1,Jamie Redknapp,89
1992-1993,7,Middlesbrough,Sheff Utd,2:0,home,1:0,Willie Falconer,35
1992-1993,7,Middlesbrough,Sheff Utd,2:0,home,2:0,Tommy Wright,83
1992-1993,7,Norwich,Southampton,1:0,home,1:0,Mark Robins,87
1992-1993,7,Oldham Athletic,Coventry,0:1,away,0:1,Kevin Gallacher,55
1992-1993,7,Sheff Wed,Man City,0:3,away,0:1,David White,20
1992-1993,7,Sheff Wed,Man City,0:3,away,0:2,David White,55
1992-1993,7,Sheff Wed,Man City,0:3,away,0:3,Michel Vonk,75
1992-1993,7,Spurs,Everton,2:1,away,0:1,Peter Beardsley,42
1992-1993,7,Spurs,Everton,2:1,home,1:1,Paul Allen,79
1992-1993,7,Spurs,Everton,2:1,home,2:1,Andy Turner,90
1992-1993,7,Wimbledon FC,Arsenal,3:2,away,0:1,Ian Wright,34
1992-1993,7,Wimbledon FC,Arsenal,3:2,home,1:1,Lawrie Sanchez,39
1992-1993,7,Wimbledon FC,Arsenal,3:2,home,2:1,John Fashanu,80
1992-1993,7,Wimbledon FC,Arsenal,3:2,away,2:2,Ian Wright,82
1992-1993,7,Wimbledon FC,Arsenal,3:2,home,3:2,Robbie Earle,86
1992-1993,7,Man Utd,Leeds,2:0,home,1:0,Andrey Kanchelskis,28
1992-1993,7,Man Utd,Leeds,2:0,home,2:0,Steve Bruce,44
1992-1993,8,Arsenal,Blackburn,0:1,away,0:1,Mike Newell,71
1992-1993,8,Chelsea,Norwich,2:3,home,1:0,Mick Harford,2
1992-1993,8,Chelsea,Norwich,2:3,home,2:0,Andy Townsend,29
1992-1993,8,Chelsea,Norwich,2:3,away,2:1,Mark Robins,46
1992-1993,8,Chelsea,Norwich,2:3,away,2:2,Mark Robins,74
1992-1993,8,Chelsea,Norwich,2:3,away,2:3,David Phillips,79
1992-1993,8,Crystal Palace,Oldham Athletic,2:2,away,0:1,Ian Olney,19
1992-1993,8,Crystal Palace,Oldham Athletic,2:2,home,1:1,Chris Armstrong,64
1992-1993,8,Crystal Palace,Oldham Athletic,2:2,home,2:1,Chris Armstrong,66
1992-1993,8,Crystal Palace,Oldham Athletic,2:2,away,2:2,Graeme Sharp,78
1992-1993,8,Everton,Man Utd,0:2,away,0:1,Brian McClair,29
1992-1993,8,Everton,Man Utd,0:2,away,0:2,Steve Bruce,76
1992-1993,8,Ipswich,Wimbledon FC,2:1,home,1:0,Mick Stockwell,14
1992-1993,8,Ipswich,Wimbledon FC,2:1,away,1:1,Dean Holdsworth,27
1992-1993,8,Ipswich,Wimbledon FC,2:1,home,2:1,Mick Stockwell,48
1992-1993,8,Man City,Middlesbrough,0:1,away,0:1,Garry Flitcroft,42
1992-1993,8,Nottm Forest,Sheff Wed,1:2,away,0:1,Paul Warhurst,39
1992-1993,8,Nottm Forest,Sheff Wed,1:2,away,0:2,Graham Hyde,57
1992-1993,8,Nottm Forest,Sheff Wed,1:2,home,1:2,Gary Bannister,87
1992-1993,8,Sheff Utd,Liverpool,1:0,home,1:0,Adrian Littlejohn,4
1992-1993,8,Southampton,QPR,1:2,home,1:0,Matt Le Tissier,11
1992-1993,8,Southampton,QPR,1:2,away,1:1,Andy Sinton,53
1992-1993,8,Southampton,QPR,1:2,away,1:2,Justin Channing,56
1992-1993,8,Leeds,Aston Villa,1:1,away,0:1,Garry Parker,19
1992-1993,8,Leeds,Aston Villa,1:1,home,1:1,Steve Hodge,85
1992-1993,8,Coventry,Spurs,1:0,home,1:0,John Williams,61
1992-1993,9,Aston Villa,Liverpool,4:2,away,0:1,Mark Walters,43
1992-1993,9,Aston Villa,Liverpool,4:2,home,1:1,Dean Saunders,44
1992-1993,9,Aston Villa,Liverpool,4:2,home,2:1,Dalian Atkinson,54
1992-1993,9,Aston Villa,Liverpool,4:2,home,3:1,Dean Saunders,66
1992-1993,9,Aston Villa,Liverpool,4:2,home,4:1,Garry Parker,78
1992-1993,9,Aston Villa,Liverpool,4:2,away,4:2,Ronny Rosenthal,84
1992-1993,9,Everton,Crystal Palace,0:2,away,0:1,Chris Armstrong,8
1992-1993,9,Everton,Crystal Palace,0:2,away,0:2,Chris Armstrong,17
1992-1993,9,Norwich,Sheff Wed,1:0,home,1:0,Rob Newman,44
1992-1993,9,Oldham Athletic,Ipswich,4:2,home,1:0,Ian Marshall,32
1992-1993,9,Oldham Athletic,Ipswich,4:2,home,2:0,Graeme Sharp,53
1992-1993,9,Oldham Athletic,Ipswich,4:2,home,3:0,Gunnar Halle,56
1992-1993,9,Oldham Athletic,Ipswich,4:2,away,3:1,John Wark,75
1992-1993,9,Oldham Athletic,Ipswich,4:2,home,4:1,Nick Henry,82
1992-1993,9,Oldham Athletic,Ipswich,4:2,away,4:2,Neil Thompson,88
1992-1993,9,QPR,Middlesbrough,3:3,away,0:1,Alan Kernaghan,37
1992-1993,9,QPR,Middlesbrough,3:3,home,1:1,Les Ferdinand,57
1992-1993,9,QPR,Middlesbrough,3:3,away,1:2,Tommy Wright,58
1992-1993,9,QPR,Middlesbrough,3:3,home,2:2,Gary Penrice,73
1992-1993,9,QPR,Middlesbrough,3:3,away,2:3,Willie Falconer,86
1992-1993,9,QPR,Middlesbrough,3:3,home,3:3,Andy Sinton,90
1992-1993,9,Sheff Utd,Arsenal,1:1,home,1:0,Dane Whitehouse,48
1992-1993,9,Sheff Utd,Arsenal,1:1,away,1:1,Ian Wright,85
1992-1993,9,Southampton,Leeds,1:1,home,1:0,Perry Groves,43
1992-1993,9,Southampton,Leeds,1:1,away,1:1,Gary Speed,83
1992-1993,9,Spurs,Man Utd,1:1,away,0:1,Ryan Giggs,45
1992-1993,9,Spurs,Man Utd,1:1,home,1:1,Gordon Durie,52
1992-1993,9,Wimbledon FC,Blackburn,1:1,home,1:0,Neal Ardley,24
1992-1993,9,Wimbledon FC,Blackburn,1:1,away,1:1,Alan Shearer,32
1992-1993,9,Man City,Chelsea,0:1,away,0:1,Mick Harford,40
1992-1993,9,Nottm Forest,Coventry,1:1,away,0:1,Robert Rosario,45
1992-1993,9,Nottm Forest,Coventry,1:1,home,1:1,Nigel Clough,69
1992-1993,10,Blackburn,Oldham Athletic,2:0,home,1:0,Alan Shearer,30
1992-1993,10,Blackburn,Oldham Athletic,2:0,home,2:0,Stuart Ripley,61
1992-1993,10,Coventry,Norwich,1:1,away,0:1,Ian Crook,13
1992-1993,10,Coventry,Norwich,1:1,home,1:1,Peter Ndlovu,37
1992-1993,10,Crystal Palace,Southampton,1:2,away,0:1,Iain Dowie,44
1992-1993,10,Crystal Palace,Southampton,1:2,home,1:1,Eric Young,54
1992-1993,10,Crystal Palace,Southampton,1:2,away,1:2,Iain Dowie,88
1992-1993,10,Leeds,Everton,2:0,home,1:0,Gary McAllister,61
1992-1993,10,Leeds,Everton,2:0,home,2:0,Lee Chapman,63
1992-1993,10,Middlesbrough,Aston Villa,2:3,away,0:1,Dean Saunders,22
1992-1993,10,Middlesbrough,Aston Villa,2:3,home,1:1,Bernie Slaven,62
1992-1993,10,Middlesbrough,Aston Villa,2:3,away,1:2,Dalian Atkinson,71
1992-1993,10,Middlesbrough,Aston Villa,2:3,away,1:3,Dean Saunders,74
1992-1993,10,Middlesbrough,Aston Villa,2:3,home,2:3,Paul McGrath,86
1992-1993,10,Liverpool,Wimbledon FC,2:3,away,0:1,John Fashanu,12
1992-1993,10,Liverpool,Wimbledon FC,2:3,away,0:2,Robbie Earle,27
1992-1993,10,Liverpool,Wimbledon FC,2:3,home,1:2,Jan Molby,35
1992-1993,10,Liverpool,Wimbledon FC,2:3,home,2:2,Steve McManaman,39
1992-1993,10,Liverpool,Wimbledon FC,2:3,away,2:3,Robbie Earle,76
1992-1993,10,Sheff Wed,Spurs,2:0,home,1:0,Mark Bright,6
1992-1993,10,Sheff Wed,Spurs,2:0,home,2:0,Viv Anderson,32
1992-1993,10,Arsenal,Man City,1:0,home,1:0,Ian Wright,19
1992-1993,11,Arsenal,Chelsea,2:1,home,1:0,Paul Merson,10
1992-1993,11,Arsenal,Chelsea,2:1,away,1:1,Dennis Wise,79
1992-1993,11,Arsenal,Chelsea,2:1,home,2:1,Ian Wright,85
1992-1993,11,Blackburn,Norwich,7:1,home,1:0,Roy Wegerle,8
1992-1993,11,Blackburn,Norwich,7:1,home,2:0,Tim Sherwood,27
1992-1993,11,Blackburn,Norwich,7:1,home,3:0,Roy Wegerle,32
1992-1993,11,Blackburn,Norwich,7:1,away,3:1,Rob Newman,39
1992-1993,11,Blackburn,Norwich,7:1,home,4:1,Alan Shearer,43
1992-1993,11,Blackburn,Norwich,7:1,home,5:1,Gordon Cowans,63
1992-1993,11,Blackburn,Norwich,7:1,home,6:1,Stuart Ripley,70
1992-1993,11,Blackburn,Norwich,7:1,home,7:1,Alan Shearer,76
1992-1993,11,Coventry,Crystal Palace,2:2,home,1:0,Andy Pearce,7
1992-1993,11,Coventry,Crystal Palace,2:2,away,1:1,Chris Coleman,8
1992-1993,11,Coventry,Crystal Palace,2:2,home,2:1,Kevin Gallacher,18
1992-1993,11,Coventry,Crystal Palace,2:2,away,2:2,Eddie McGoldrick,39
1992-1993,11,Ipswich,Leeds,4:2,home,1:0,Chris Kiwomya,25
1992-1993,11,Ipswich,Leeds,4:2,home,2:0,John Wark,36
1992-1993,11,Ipswich,Leeds,4:2,home,3:0,John Wark,44
1992-1993,11,Ipswich,Leeds,4:2,away,3:1,Lee Chapman,55
1992-1993,11,Ipswich,Leeds,4:2,away,3:2,Gary Speed,64
1992-1993,11,Ipswich,Leeds,4:2,home,4:2,Jason Dozzell,70
1992-1993,11,Liverpool,Sheff Wed,1:0,home,1:0,Don Hutchison,80
1992-1993,11,Man City,Nottm Forest,2:2,home,1:0,Rick Holden,17
1992-1993,11,Man City,Nottm Forest,2:2,away,1:1,Ray McKinnon,56
1992-1993,11,Man City,Nottm Forest,2:2,home,2:1,Fitzroy Simpson,64
1992-1993,11,Man City,Nottm Forest,2:2,away,2:2,Stuart Pearce,83
1992-1993,11,Middlesbrough,Man Utd,1:1,away,0:1,Steve Bruce,43
1992-1993,11,Middlesbrough,Man Utd,1:1,home,1:1,Bernie Slaven,59
1992-1993,11,QPR,Spurs,4:1,away,0:1,Teddy Sheringham,28
1992-1993,11,QPR,Spurs,4:1,home,1:1,Ian Holloway,52
1992-1993,11,QPR,Spurs,4:1,home,2:1,Ray Wilkins,59
1992-1993,11,QPR,Spurs,4:1,home,3:1,Gary Penrice,67
1992-1993,11,QPR,Spurs,4:1,home,4:1,Gary Penrice,79
1992-1993,11,Sheff Utd,Southampton,2:0,home,1:0,Dane Whitehouse,4
1992-1993,11,Sheff Utd,Southampton,2:0,home,2:0,Adrian Littlejohn,26
1992-1993,11,Wimbledon FC,Aston Villa,2:3,away,0:1,Dean Saunders,5
1992-1993,11,Wimbledon FC,Aston Villa,2:3,away,0:2,Dean Saunders,29
1992-1993,11,Wimbledon FC,Aston Villa,2:3,home,1:2,Aidan Newhouse,34
1992-1993,11,Wimbledon FC,Aston Villa,2:3,away,1:3,Dalian Atkinson,77
1992-1993,11,Wimbledon FC,Aston Villa,2:3,home,2:3,Andy Clarke,90
1992-1993,11,Oldham Athletic,Everton,1:0,home,1:0,Richard Jobson,8
1992-1993,12,Chelsea,Ipswich,2:1,home,1:0,Gareth Hall,28
1992-1993,12,Chelsea,Ipswich,2:1,home,2:0,Mick Harford,78
1992-1993,12,Chelsea,Ipswich,2:1,away,2:1,Steve Whitton,79
1992-1993,12,Everton,Coventry,1:1,home,1:0,Peter Beagrie,28
1992-1993,12,Everton,Coventry,1:1,away,1:1,Peter Ndlovu,44
1992-1993,12,Leeds,Sheff Utd,3:1,home,1:0,Lee Chapman,36
1992-1993,12,Leeds,Sheff Utd,3:1,away,1:1,Paul Beesley,53
1992-1993,12,Leeds,Sheff Utd,3:1,home,2:1,Gary Speed,74
1992-1993,12,Leeds,Sheff Utd,3:1,home,3:1,Chris Whyte,78
1992-1993,12,Norwich,QPR,2:1,home,1:0,Mark Bowen,53
1992-1993,12,Norwich,QPR,2:1,home,2:0,Chris Sutton,64
1992-1993,12,Norwich,QPR,2:1,away,2:1,Bradley Allen,77
1992-1993,12,Nottm Forest,Arsenal,0:1,away,0:1,Alan Smith,38
1992-1993,12,Sheff Wed,Oldham Athletic,2:1,home,1:0,Carlton Palmer,9
1992-1993,12,Sheff Wed,Oldham Athletic,2:1,home,2:0,Mark Bright,17
